cell_type,genes
C01_Ker,KRT14;KRT10;KRT5;KRT19
C02_Melano,PMEL;DCT
C03_Fb,COL6A2;COL1A2;COL6A1
C04_Schw,MPZ;NRXN1
C05_Sgc,MUCL1;SCGB1D2;SCGB1B2P
C06_Vmc,ACTA2;MYL9;TAGLN
C07_Endo,VWF;PECAM1;CDH5;ACKR1
C08_T,CD3D;CD3E;CD3G
C09_B ,CD79A;MS4A1
C10_Mast,TPSB2;TPSAB1
C11_Macro/DC,AIF1;CD40;CD68;LYZ;ITGAX
